Image_ID,class,confidence,ymin,xmin,ymax,xmax
image_0609,1,0.890547037,0.620833333,0.828125,0.809722222,0.96015625
image_0643,0,0.721845746,0.680555556,0.52109375,0.780555556,0.6640625
image_0643,0,0.640518904,0.655555556,0.3328125,0.809722222,0.4328125
image_0587,0,0.822979271,0.702777778,0.1578125,0.873611111,0.28046875
image_0587,1,0.700529814,0.777777778,0.37890625,0.919444444,0.4921875
image_0660,1,0.936797142,0.679166667,0.553125,0.820833333,0.65625
image_0660,0,0.503085732,0.876388889,0.44453125,0.998611111,0.57734375
image_0652,1,0.790939569,0.654166667,0.43046875,0.990277778,0.58046875
image_0612,0,0.821762145,0.591666667,0.434375,0.768055556,0.50234375
image_0612,1,0.817600191,0.615277778,0.5484375,0.779166667,0.69921875
image_0612,0,0.799847841,0.609722222,0.28125,0.765277778,0.39453125
image_0649,1,0.810602844,0.676388889,0.246875,0.955555556,0.38359375
image_0649,0,0.751657128,0.704166667,0.671875,0.963888889,0.83515625
image_0649,0,0.65352869,0.7625,0.46953125,0.881944444,0.6015625
image_0661,0,0.722517908,0.748611111,0.2359375,0.830555556,0.328125
image_0661,1,0.65244627,0.697222222,0.48828125,0.894444444,0.65625
image_0593,0,0.835724175,0.775,0.04140625,0.990277778,0.1640625
image_0593,1,0.743517041,0.779166667,0.34296875,0.961111111,0.4640625
image_0593,0,0.727190971,0,0.11875,0.240277778,0.23046875
image_0651,0,0.860434353,0.698611111,0.65078125,0.827777778,0.79140625
image_0651,0,0.802586317,0.629166667,0.4359375,0.825,0.5390625
image_0651,1,0.799473166,0.658333333,0.1390625,0.826388889,0.2765625
image_0641,0,0.787835956,0.748611111,0.2015625,0.933333333,0.3484375
image_0641,1,0.746264935,0.65,0.63359375,1,0.78203125
image_0641,0,0.489131689,0.870833333,0.17109375,0.9375,0.20546875
image_0633,1,0.84893024,0.616666667,0.1421875,0.865277778,0.2921875
image_0608,0,0.741579831,0.611111111,0.88515625,0.754166667,1
image_0628,1,0.87757653,0.629166667,0.5859375,0.734722222,0.73359375
image_0628,0,0.808263719,0.638888889,0.26875,0.741666667,0.39140625
image_0628,0,0.744010448,0.609722222,0.45078125,0.783333333,0.5640625
image_0628,1,0.400789887,0.322222222,0.32578125,0.3875,0.3484375
image_0584,0,0.645596147,0.680555556,0.0875,0.808333333,0.171875
image_0610,0,0.828703046,0.640277778,0.659375,0.826388889,0.78515625
image_0610,1,0.668059826,0.661111111,0.41015625,0.798611111,0.57421875
image_0583,0,0.828525603,0.648611111,0.1390625,0.85,0.2125
image_0583,0,0.738017142,0.636111111,0.640625,0.922222222,0.7953125
image_0583,0,0.578822374,0.723611111,0.41640625,0.965277778,0.6421875
image_0631,1,0.808713734,0.716666667,0.66484375,0.806944444,0.77734375
image_0631,1,0.802391768,0.647222222,0.45078125,0.838888889,0.596875
image_0631,0,0.758054495,0.554166667,0.1859375,0.845833333,0.39375
image_0631,0,0.423241317,0.875,0.44765625,1,0.57890625
image_0636,0,0.888492465,0.611111111,0.65703125,0.806944444,0.7828125
image_0636,0,0.863801241,0.615277778,0.13125,0.786111111,0.22890625
image_0636,0,0.858932793,0.655555556,0.35,0.781944444,0.43125
image_0591,1,0.71984303,0.675,0.8015625,0.833333333,0.87578125
image_0656,1,0.884891689,0.744444444,0.621875,0.898611111,0.75703125
image_0656,0,0.822047412,0.731944444,0.0984375,0.966666667,0.2359375
image_0656,1,0.750012696,0.7,0.31953125,0.916666667,0.5265625
image_0656,1,0.684204519,0,0.134375,0.254166667,0.2421875
image_0665,1,0.885811627,0.651388889,0.2359375,0.806944444,0.35625
image_0665,0,0.830296338,0.629166667,0.63125,0.841666667,0.759375
image_0624,0,0.809774518,0.680555556,0.29296875,0.851388889,0.4234375
image_0624,0,0.572702169,0.090277778,0.20703125,0.297222222,0.296875
image_0624,0,0.420601875,0.0375,0.12265625,0.275,0.19765625
image_0615,0,0.822826862,0.598611111,0.53125,0.768055556,0.60546875
image_0615,0,0.807593524,0.576388889,0.40390625,0.776388889,0.490625
image_0615,1,0.805118978,0.656944444,0.75546875,0.775,0.88671875
image_0605,1,0.850912154,0.630555556,0.31328125,0.784722222,0.453125
image_0605,0,0.74639982,0.686111111,0.62265625,0.770833333,0.7296875
image_0588,0,0.894506037,0.695833333,0.75234375,0.854166667,0.8359375
image_0588,1,0.724035323,0.691666667,0.309375,0.851388889,0.38203125
image_0622,0,0.876783729,0.690277778,0.28515625,0.833333333,0.36796875
image_0622,0,0.74548763,0.741666667,0.784375,0.888888889,0.90078125
image_0622,0,0.628397763,0.663888889,0.54921875,0.915277778,0.725
image_0594,1,0.650321007,0.777777778,0.39296875,0.904166667,0.475
image_0594,0,0.637606442,0.008333333,0.1421875,0.265277778,0.2453125
image_0648,1,0.821873844,0.634722222,0.51171875,0.763888889,0.62734375
image_0644,1,0.847718179,0.608333333,0.18671875,0.847222222,0.32578125
image_0644,0,0.465061784,0.870833333,0.43203125,0.988888889,0.5671875
image_0621,1,0.846672535,0.590277778,0.65625,0.775,0.771875
image_0621,0,0.725101769,0.655555556,0.27421875,0.744444444,0.353125
image_0634,1,0.836733639,0.6125,0.58359375,0.791666667,0.7046875
image_0634,0,0.790615141,0.669444444,0.134375,0.786111111,0.2859375
image_0599,0,0.790777385,0.668055556,0.27421875,0.7875,0.3515625
image_0599,1,0.730026186,0.701388889,0.43671875,0.790277778,0.51953125
image_0599,0,0.666114032,0.691666667,0.584375,0.795833333,0.68359375
image_0640,0,0.882226586,0.673611111,0.2484375,0.838888889,0.3296875
image_0640,0,0.800124109,0.701388889,0.79765625,0.872222222,0.9359375
image_0640,0,0.621159196,0.670833333,0.4515625,0.990277778,0.678125
image_0629,1,0.895203531,0.663888889,0.59453125,0.758333333,0.6515625
image_0629,0,0.827435791,0.636111111,0.44921875,0.755555556,0.55546875
image_0629,1,0.808943808,0.677777778,0.33828125,0.766666667,0.41640625
image_0653,1,0.877561808,0.652777778,0.8,0.794444444,0.8859375
image_0653,0,0.814010203,0.452777778,0.2125,0.7875,0.35078125
image_0653,0,0.793078184,0.629166667,0.51875,0.804166667,0.64921875
image_0667,0,0.878153861,0.6375,0.4953125,0.770833333,0.596875
image_0667,1,0.817273021,0.640277778,0.7875,0.777777778,0.90703125
image_0658,1,0.871205389,0.659722222,0.3296875,0.834722222,0.4640625
image_0658,0,0.45704639,0.055555556,0.17265625,0.284722222,0.2671875
image_0645,0,0.743974388,0.647222222,0.07578125,0.825,0.24140625
image_0645,0,0.54884541,0.658333333,0.425,0.972222222,0.66328125
image_0642,1,0.840107918,0.647222222,0.43984375,0.808333333,0.5765625
image_0690,0,0.883374512,0.7625,0.3546875,0.883333333,0.4453125
image_0690,0,0.783931315,0.688888889,0.1375,0.859722222,0.25703125
image_0690,0,0.779810846,0.756944444,0.69375,0.870833333,0.790625
image_0690,1,0.413305163,0.016666667,0.14375,0.259722222,0.24765625
image_0725,1,0.811643243,0.531944444,0.23125,0.830555556,0.4125
image_0725,0,0.587213099,0.7,0.4859375,0.840277778,0.63671875
image_0713,0,0.889322042,0.576388889,0.6234375,0.695833333,0.7390625
image_0713,1,0.733726084,0.604166667,0.49140625,0.688888889,0.6046875
image_0713,1,0.716977894,0.6125,0.40078125,0.694444444,0.4484375
image_0708,1,0.822321355,0.569444444,0.578125,0.783333333,0.7046875
image_0708,1,0.727447391,0.604166667,0.12265625,0.8125,0.28828125
image_0740,1,0.864573002,0.491666667,0.2296875,0.798611111,0.35390625
image_0740,0,0.664811552,0.666666667,0.66640625,0.845833333,0.82890625
image_0742,1,0.842882037,0.726388889,0.63046875,0.841666667,0.7578125
image_0742,1,0.837970138,0.701388889,0.78203125,0.852777778,0.9109375
image_0742,1,0.795261443,0.475,0.3046875,0.854166667,0.43125
image_0702,1,0.881400347,0.655555556,0.353125,0.755555556,0.4328125
image_0702,1,0.844547212,0.636111111,0.19765625,0.733333333,0.26953125
image_0747,0,0.877456248,0.688888889,0.39296875,0.808333333,0.46640625
image_0747,1,0.87346375,0.620833333,0.1640625,0.858333333,0.31015625
image_0714,0,0.864498079,0.615277778,0.4140625,0.705555556,0.47734375
image_0714,1,0.848135114,0.513888889,0.7078125,0.726388889,0.7765625
image_0714,0,0.788274825,0.623611111,0.54296875,0.715277778,0.625
image_0734,0,0.639709651,0.622222222,0.09140625,0.876388889,0.31640625
image_0680,1,0.850726545,0.5125,0.19921875,0.9125,0.3921875
image_0680,1,0.79239589,0.743055556,0.56328125,0.888888889,0.67578125
image_0688,0,0.898046017,0.784722222,0.31171875,0.908333333,0.42734375
image_0688,1,0.776329279,0.747222222,0.1046875,0.925,0.22578125
image_0688,0,0.46254003,0.788888889,0.565625,0.891666667,0.69453125
image_0711,1,0.878128707,0.609722222,0.68515625,0.740277778,0.77421875
image_0711,0,0.874420106,0.647222222,0.2875,0.734722222,0.37265625
image_0711,1,0.763765335,0.622222222,0.45234375,0.773611111,0.5640625
image_0721,0,0.69707948,0.7375,0.38671875,0.980555556,0.553125
image_0721,0,0.637001038,0.691666667,0.046875,0.994444444,0.28671875
image_0721,0,0.54852587,0.006944444,0.0890625,0.209722222,0.20859375
image_0721,1,0.491315097,0.673611111,0.63671875,1,0.87890625
image_0728,0,0.899925649,0.588888889,0.51640625,0.741666667,0.59296875
image_0728,1,0.599326193,0.572222222,0.0390625,0.743055556,0.2203125
image_0671,1,0.811299086,0.695833333,0.28203125,0.873611111,0.39609375
image_0671,0,0.559605837,0.688888889,0.640625,0.883333333,0.8265625
image_0751,0,0.755950391,0.720833333,0.1125,0.869444444,0.2171875
image_0751,0,0.672618389,0.509722222,0.27109375,0.894444444,0.44453125
image_0744,1,0.74979043,0.772222222,0.5890625,0.933333333,0.675
image_0744,0,0.657122076,0.743055556,0.3953125,0.883333333,0.50234375
image_0744,0,0.499454379,0.497222222,0.7703125,0.929166667,0.9328125
image_0686,1,0.856676519,0.638888889,0.725,0.765277778,0.80859375
image_0686,1,0.84804821,0.626388889,0.38203125,0.7875,0.4515625
image_0686,0,0.769399345,0.652777778,0.53203125,0.766666667,0.61484375
image_0683,0,0.892249525,0.636111111,0.71484375,0.765277778,0.79921875
image_0683,0,0.837213039,0.643055556,0.4859375,0.791666667,0.62890625
image_0683,0,0.799758315,0.676388889,0.28515625,0.779166667,0.37265625
image_0698,1,0.912840486,0.572222222,0.22890625,0.761111111,0.31015625
image_0698,1,0.856318235,0.683333333,0.47890625,0.7875,0.5671875
image_0698,0,0.849117577,0.544444444,0.7421875,0.770833333,0.8640625
image_0712,1,0.960530341,0.6125,0.315625,0.794444444,0.39609375
image_0712,1,0.79276824,0.586111111,0.49609375,0.891666667,0.68125
image_0707,0,0.821566582,0.656944444,0.5578125,0.786111111,0.63515625
image_0707,0,0.812399864,0.584722222,0.31015625,0.777777778,0.43125
image_0692,1,0.829390287,0.702777778,0.1375,0.858333333,0.24921875
image_0692,1,0.803872645,0.709722222,0.7109375,0.813888889,0.80546875
image_0743,1,0.733512461,0.515277778,0.65546875,0.872222222,0.79140625
image_0724,0,0.832725048,0.740277778,0.43984375,0.858333333,0.55078125
image_0724,0,0.61235863,0.6375,0.16171875,0.806944444,0.2921875
image_0703,1,0.935472906,0.651388889,0.4453125,0.777777778,0.5421875
image_0703,0,0.909192741,0.623611111,0.61015625,0.756944444,0.68984375
image_0675,1,0.818059087,0.609722222,0.5265625,0.736111111,0.59921875
image_0675,0,0.419626713,0.856944444,0.43203125,0.975,0.5578125
image_0701,0,0.82208854,0.704166667,0.10703125,0.811111111,0.234375
image_0682,1,0.852519333,0.623611111,0.6625,0.752777778,0.7390625
image_0682,1,0.851100564,0.636111111,0.4203125,0.754166667,0.5078125
image_0741,0,0.662417531,0.786111111,0.7390625,0.927777778,0.90703125
image_0741,0,0.526078045,0.738888889,0.43359375,0.984722222,0.63671875
image_0741,0,0.468717158,0.666666667,0.06875,0.902777778,0.2484375
image_0684,0,0.83414036,0.680555556,0.62890625,0.777777778,0.71484375
image_0700,0,0.937030077,0.636111111,0.4234375,0.823611111,0.5078125
image_0700,1,0.819504201,0.604166667,0.02265625,0.777777778,0.1
image_0748,0,0.87344414,0.65,0.31875,0.769444444,0.39921875
image_0748,1,0.745773375,0.6,0.4296875,0.777777778,0.590625
image_0748,0,0.667024255,0.693055556,0.70234375,0.8,0.8046875
image_0699,1,0.876823187,0.651388889,0.27578125,0.85,0.38828125
image_0669,0,0.909822464,0.566666667,0.440625,0.75,0.51875
image_0669,0,0.887640476,0.547222222,0.65,0.7625,0.74609375
image_0718,1,0.835162997,0.618055556,0.475,0.816666667,0.628125
image_0733,0,0.899530649,0.547222222,0.11328125,0.813888889,0.30546875
image_0733,0,0.786341667,0.504166667,0.55546875,0.830555556,0.76484375
image_0745,0,0.751941442,0.713888889,0.2765625,0.906944444,0.41640625
image_0745,0,0.521001995,0.708333333,0.575,0.876388889,0.653125
image_0745,1,0.406003147,0.705555556,0.7546875,0.894444444,0.9359375
image_0705,1,0.916445911,0.631944444,0.6625,0.740277778,0.75546875
image_0705,0,0.915912271,0.6375,0.49375,0.733333333,0.5640625
image_0705,0,0.715442121,0.583333333,0.80859375,0.781944444,0.96796875
image_0746,0,0.779405892,0.683333333,0.74296875,0.856944444,0.8515625
image_0746,1,0.760759473,0.7125,0.303125,0.904166667,0.46875
image_0746,1,0.647578299,0.622222222,0.53984375,0.986111111,0.65703125
image_0697,0,0.87657392,0.619444444,0.67421875,0.743055556,0.7515625
image_0727,0,0.956715822,0.568055556,0.68125,0.763888889,0.78046875
image_0727,0,0.768452227,0.516666667,0.2796875,0.766666667,0.371875
image_0727,0,0.746231675,0.659722222,0.453125,0.783333333,0.5203125
image_0752,1,0.725653291,0.495833333,0.3375,0.841666667,0.45703125
image_0752,0,0.57669282,0.068055556,0.18203125,0.2875,0.271875
image_0752,0,0.401217908,0.027777778,0.08984375,0.275,0.16640625
image_0696,0,0.910122573,0.695833333,0.61953125,0.813888889,0.71796875
image_0696,1,0.86189729,0.681944444,0.25,0.820833333,0.359375
image_0696,0,0.803025246,0.644444444,0.87890625,0.8,0.9625
image_0749,1,0.861031413,0.704166667,0.1203125,0.920833333,0.27109375
image_0749,0,0.778121114,0.65,0.3765625,0.869444444,0.48125
image_0749,0,0.675507128,0.502777778,0.584375,0.865277778,0.76796875
image_0689,1,0.810602367,0.708333333,0.15625,0.868055556,0.278125
image_0735,0,0.859585762,0.620833333,0.70234375,0.848611111,0.81484375
image_0735,1,0.84000963,0.555555556,0.30390625,0.806944444,0.4078125
image_0704,1,0.702787042,0.740277778,0.5703125,0.869444444,0.67734375
image_0704,1,0.696451843,0.480555556,0.259375,0.833333333,0.4234375
image_0674,1,0.912726223,0.644444444,0.6640625,0.775,0.7515625
image_0674,1,0.777303636,0.677777778,0.8625,0.830555556,1
image_0674,1,0.723512173,0.686111111,0.434375,0.798611111,0.58125
image_0706,1,0.817889631,0.5875,0.5328125,0.759722222,0.6546875
image_0706,0,0.447431982,0.856944444,0.42578125,0.981944444,0.55859375
image_0685,1,0.880745292,0.684722222,0.7609375,0.788888889,0.85234375
image_0685,1,0.692760706,0.668055556,0.51875,0.770833333,0.6015625
image_0695,1,0.827499807,0.666666667,0.7171875,0.793055556,0.8375
image_0695,0,0.758837938,0.695833333,0.565625,0.815277778,0.6578125
image_0750,0,0.798324347,0.695833333,0.39609375,0.833333333,0.47109375
image_0750,1,0.647132933,0.572222222,0.63359375,0.845833333,0.83203125
image_0729,1,0.947289288,0.552777778,0.203125,0.729166667,0.284375
image_0729,0,0.869057953,0.486111111,0.321875,0.723611111,0.40546875
image_0729,1,0.86405158,0.522222222,0.72421875,0.745833333,0.8296875
image_0691,0,0.857471287,0.694444444,0.509375,0.843055556,0.6015625
image_0691,0,0.48107487,0.048611111,0.16328125,0.280555556,0.259375
image_0717,0,0.880484283,0.651388889,0.615625,0.752777778,0.69765625
image_0717,0,0.831880569,0.501388889,0.34140625,0.801388889,0.47109375
image_0717,1,0.768057942,0.665277778,0.128125,0.769444444,0.20859375
image_0672,0,0.891156316,0.684722222,0.63203125,0.819444444,0.715625
image_0672,1,0.874176025,0.663888889,0.36875,0.793055556,0.45
image_0672,0,0.749666154,0.705555556,0.87734375,0.825,0.98125
image_0716,1,0.872541428,0.568055556,0.265625,0.741666667,0.35078125
image_0716,0,0.797275603,0.651388889,0.540625,0.7125,0.62890625
image_0726,0,0.740659416,0.633333333,0.44765625,0.8125,0.6265625
image_0722,0,0.588282645,0,0.1125,0.259722222,0.24140625
image_0722,1,0.57383281,0.598611111,0.1203125,0.929166667,0.34296875
image_0719,0,0.920217454,0.693055556,0.30625,0.815277778,0.4046875
image_0719,1,0.847208798,0.526388889,0.55703125,0.851388889,0.70078125
image_0732,1,0.734228909,0.497222222,0.08515625,0.819444444,0.29453125
image_0732,0,0.71238631,0.536111111,0.321875,0.866666667,0.4953125
image_0681,1,0.912423551,0.609722222,0.62890625,0.752777778,0.70625
image_0681,1,0.809118748,0.626388889,0.27421875,0.772222222,0.41953125
image_0679,1,0.912611246,0.602777778,0.4484375,0.722222222,0.52109375
image_0679,1,0.854799807,0.609722222,0.59296875,0.747222222,0.6625
image_0676,1,0.874967933,0.631944444,0.5671875,0.776388889,0.63984375
image_0676,1,0.799115002,0.654166667,0.33515625,0.738888889,0.41953125
image_0694,0,0.786283374,0.725,0.25859375,0.847222222,0.38984375
image_0694,1,0.703662395,0.7375,0.53359375,0.870833333,0.64140625
image_0678,1,0.899330199,0.656944444,0.3625,0.756944444,0.42578125
image_0678,1,0.856632829,0.640277778,0.184375,0.75,0.2671875
image_0709,1,0.862376928,0.640277778,0.553125,0.780555556,0.64140625
image_0709,1,0.684089363,0.593055556,0.2203125,0.8375,0.3765625
image_0739,1,0.749486148,0.709722222,0.23515625,0.95,0.40625
image_0668,1,0.834432065,0.593055556,0.07578125,0.784722222,0.20625
image_0710,1,0.67425257,0.620833333,0.37890625,0.768055556,0.53359375
image_0736,1,0.479640335,0.676388889,0.76640625,0.819444444,0.96171875
image_0738,0,0.758755445,0.761111111,0.1640625,0.918055556,0.2796875
image_0738,0,0.508633971,0.666666667,0.44296875,0.943055556,0.6953125
image_0737,0,0.710290551,0.744444444,0.34609375,0.920833333,0.46953125
image_0737,0,0.604863107,0.681944444,0.6546875,1,0.8859375
image_0673,1,0.863503456,0.651388889,0.690625,0.711111111,0.7609375
image_0730,1,0.432741344,0.569444444,0.7125,0.926388889,0.97109375
image_0715,1,0.722047627,0.641666667,0.43671875,0.816666667,0.553125
image_0715,0,0.615777969,0.608333333,0.15078125,0.865277778,0.37578125
image_0677,1,0.902760267,0.638888889,0.225,0.743055556,0.31953125
image_0687,0,0.879808605,0.615277778,0.6625,0.770833333,0.73359375
image_0687,0,0.850380778,0.618055556,0.47421875,0.763888889,0.5234375
image_0693,1,0.788532615,0.705555556,0.53515625,0.8125,0.62265625
image_0723,0,0.890343845,0.673611111,0.49296875,0.873611111,0.5828125
image_0723,1,0.6891886,0.65,0.028125,0.916666667,0.19765625
image_0723,1,0.457145661,0.016666667,0.1390625,0.268055556,0.24921875
image_0731,0,0.868906319,0.548611111,0.4265625,0.768055556,0.534375
image_0731,1,0.712815523,0.605555556,0.11171875,0.786111111,0.26171875
image_0720,0,0.942144096,0.629166667,0.27578125,0.8375,0.38046875
image_0720,0,0.688129961,0.076388889,0.178125,0.298611111,0.2734375
image_0720,0,0.663161099,0.519444444,0.3953125,0.808333333,0.5875
image_0720,0,0.482074797,0.034722222,0.09453125,0.276388889,0.1703125
image_0670,1,0.830918908,0.609722222,0.22578125,0.759722222,0.35078125
image_0670,0,0.804781616,0.644444444,0.7015625,0.756944444,0.77890625
image_0670,0,0.764508903,0.656944444,0.45859375,0.748611111,0.5796875
image_0769,1,0.891927421,0.673611111,0.22421875,0.786111111,0.31640625
image_0769,0,0.783835173,0.629166667,0.4109375,0.844444444,0.58046875
image_0769,1,0.760174572,0.718055556,0.61796875,0.85,0.72890625
image_0755,1,0.854410112,0.613888889,0.1390625,0.873611111,0.25234375
image_0755,0,0.55246532,0.040277778,0.16328125,0.315277778,0.26875
image_0791,0,0.902222991,0.566666667,0.221875,0.794444444,0.3359375
image_0791,1,0.805329621,0.684722222,0.52578125,0.875,0.68203125
image_0791,1,0.732127666,0.716666667,0.35234375,0.833333333,0.4734375
image_0815,1,0.809374332,0.522222222,0.4609375,0.826388889,0.62734375
image_0759,0,0.649519324,0.644444444,0.32890625,0.797222222,0.4828125
image_0804,0,0.909693062,0.6625,0.32890625,0.763888889,0.37734375
image_0804,1,0.832939744,0.683333333,0.6953125,0.758333333,0.7640625
image_0804,0,0.77882421,0.580555556,0.47890625,0.7875,0.6421875
image_0804,0,0.66725719,0.888888889,0.44453125,0.991666667,0.5765625
image_0802,1,0.811098039,0.590277778,0.18046875,0.7625,0.31796875
image_0802,0,0.422713578,0.868055556,0.43203125,0.9875,0.5671875
image_0834,1,0.823781848,0.675,0.53203125,0.806944444,0.6125
image_0834,0,0.748677909,0.593055556,0.715625,0.856944444,0.9125
image_0821,0,0.671671808,0.688888889,0.49375,0.9,0.625
image_0830,1,0.892374516,0.691666667,0.71171875,0.829166667,0.85
image_0830,0,0.770976722,0.490277778,0.1953125,0.851388889,0.334375
image_0812,0,0.863360643,0.6375,0.33203125,0.738888889,0.43203125
image_0812,1,0.833775043,0.606944444,0.5171875,0.769444444,0.65390625
image_0760,1,0.60971415,0.523611111,0.2,0.890277778,0.38125
image_0781,1,0.77447331,0.541666667,0.63359375,0.822222222,0.81796875
image_0781,1,0.748842657,0.681944444,0.43203125,0.791666667,0.51328125
image_0781,0,0.519717455,0.626388889,0.153125,0.822222222,0.321875
image_0762,0,0.729163706,0.473611111,0.2734375,0.820833333,0.40390625
image_0762,1,0.726926804,0.669444444,0.1078125,0.786111111,0.19375
image_0827,0,0.932860494,0.665277778,0.578125,0.794444444,0.6546875
image_0827,1,0.818009913,0.659722222,0.31875,0.761111111,0.40625
image_0827,1,0.800829887,0.5375,0.1359375,0.758333333,0.29609375
image_0808,1,0.871351779,0.508333333,0.47109375,0.811111111,0.63828125
image_0833,1,0.696721494,0.665277778,0.60390625,0.851388889,0.76640625
image_0833,0,0.46202454,0.85,0.43359375,0.993055556,0.5578125
image_0816,1,0.921823025,0.726388889,0.64375,0.879166667,0.75078125
image_0816,1,0.826821029,0.755555556,0.1609375,0.926388889,0.31015625
image_0816,1,0.59592557,0.654166667,0.38046875,0.966666667,0.590625
image_0774,0,0.752922118,0.793055556,0.6140625,0.923611111,0.74609375
image_0774,0,0.573722363,0.745833333,0.0078125,0.941666667,0.13203125
image_0796,0,0.88231355,0.506944444,0.26953125,0.677777778,0.35
image_0792,1,0.860284567,0.636111111,0.225,0.722222222,0.30703125
